timestamp,user,source_ip,event_type,status,failed_attempts,bytes_out
2026-08-24T20:20:00,admin,10.0.0.17,vpn,SUCCESS,0,19953
2026-08-25T10:05:00,analyst,10.0.0.33,login,SUCCESS,1,25073
2026-08-24T13:39:00,serviceacct,10.0.0.34,login,SUCCESS,0,15003
2026-08-24T09:09:00,analyst,10.0.0.12,login,SUCCESS,1,12803
2026-08-24T16:00:00,asmith,10.0.0.18,file_access,SUCCESS,0,23454
2026-08-24T18:55:00,analyst,10.0.0.23,vpn,SUCCESS,0,10292
2026-08-24T23:01:00,serviceacct,10.0.0.13,process_start,SUCCESS,0,19530
2026-08-24T13:35:00,serviceacct,10.0.0.30,vpn,SUCCESS,0,24172
2026-08-24T18:43:00,serviceacct,10.0.0.38,login,SUCCESS,1,13261
2026-08-25T01:22:00,admin,10.0.0.17,login,FAIL,1,22281
2026-08-25T16:48:00,asmith,10.0.0.18,login,SUCCESS,0,16755
2026-08-25T17:46:00,serviceacct,10.0.0.31,vpn,SUCCESS,1,15127
2026-08-24T23:08:00,serviceacct,10.0.0.23,login,SUCCESS,0,15209
2026-08-24T20:23:00,jdoe,10.0.0.41,file_access,SUCCESS,1,17573
2026-08-24T15:00:00,admin,10.0.0.41,login,SUCCESS,0,20051
2026-08-24T19:15:00,jdoe,10.0.0.29,process_start,SUCCESS,1,24276
2026-08-25T05:28:00,admin,10.0.0.22,login,SUCCESS,1,8092
2026-08-24T17:23:00,helpdesk,10.0.0.41,login,SUCCESS,0,15055
2026-08-25T07:20:00,helpdesk,10.0.0.21,login,SUCCESS,0,10492
2026-08-24T06:01:00,serviceacct,10.0.0.32,login,SUCCESS,0,11051
2026-08-25T01:13:00,serviceacct,10.0.0.35,vpn,SUCCESS,1,12572
2026-08-24T09:17:00,helpdesk,10.0.0.25,login,SUCCESS,1,23411
2026-08-24T16:59:00,helpdesk,10.0.0.28,vpn,SUCCESS,1,20996
2026-08-25T12:02:00,helpdesk,10.0.0.34,vpn,SUCCESS,0,712
